Tid	Kanal A
(s)	(V)

-1.83101442	1.24335600
-1.83068108	1.24335600
-1.83034774	1.24335600
-1.83001441	1.24335600
-1.82968107	1.24335600
-1.82934774	1.24335600
-1.82901440	1.24335600
-1.82868106	1.24335600
-1.82834773	1.24335600
-1.82801439	1.24335600
-1.82768106	1.24335600
-1.82734772	1.24335600
-1.82701438	1.24335600
-1.82668105	1.24335600
-1.82634771	1.24335600
-1.82601438	1.24335600
-1.82568104	1.24335600
-1.82534770	1.24335600
-1.82501437	1.24335600
-1.82468103	1.24335600
-1.82434770	1.24335600
-1.82401436	1.24335600
-1.82368102	1.24335600
-1.82334769	1.24335600
-1.82301435	1.24335600
-1.82268102	1.24335600
-1.82234768	1.24335600
-1.82201434	1.24335600
-1.82168101	1.24335600
-1.82134767	1.24335600
-1.82101434	1.24335600
-1.82068100	1.24335600
-1.82034766	1.26187300
-1.82001433	1.26187300
-1.81968099	1.26187300
-1.81934766	1.26187300
-1.81901432	1.26187300
-1.81868098	1.26187300
-1.81834765	1.26187300
-1.81801431	1.26187300
-1.81768098	1.26187300
-1.81734764	1.26187300
-1.81701430	1.26187300
-1.81668097	1.26187300
-1.81634763	1.28045000
-1.81601430	1.26187300
-1.81568096	1.26187300
-1.81534762	1.26187300
-1.81501429	1.28045000
-1.81468095	1.28045000
-1.81434762	1.28045000
-1.81401428	1.28045000
-1.81368094	1.28045000
-1.81334761	1.28045000
-1.81301427	1.28045000
-1.81268094	1.28045000
-1.81234760	1.28045000
-1.81201427	1.28045000
-1.81168093	1.28045000
-1.81134759	1.28045000
-1.81101426	1.28045000
-1.81068092	1.28045000
-1.81034759	1.28045000
-1.81001425	1.28045000
-1.80968091	1.29902800
-1.80934758	1.29902800
-1.80901424	1.29902800
-1.80868091	1.29902800
-1.80834757	1.29902800
-1.80801423	1.29902800
-1.80768090	1.29902800
-1.80734756	1.29902800
-1.80701423	1.29902800
-1.80668089	1.29902800
-1.80634755	1.29902800
-1.80601422	1.29902800
-1.80568088	1.29902800
-1.80534755	1.29902800
-1.80501421	1.29902800
-1.80468087	1.29902800
-1.80434754	1.29902800
-1.80401420	1.29902800
-1.80368087	1.29902800
-1.80334753	1.29902800
-1.80301419	1.29902800
-1.80268086	1.29902800
-1.80234752	1.29902800
-1.80201419	1.29902800
-1.80168085	1.29902800
-1.80134751	1.29902800
-1.80101418	1.29902800
-1.80068084	1.29902800
-1.80034751	1.29902800
-1.80001417	1.29902800
-1.79968083	1.29902800
-1.79934750	1.29902800
-1.79901416	1.29902800
-1.79868083	1.31754400
-1.79834749	1.29902800
-1.79801415	1.29902800
-1.79768082	1.31754400
-1.79734748	1.31754400
-1.79701415	1.31754400
-1.79668081	1.31754400
-1.79634747	1.31754400
-1.79601414	1.31754400
-1.79568080	1.31754400
-1.79534747	1.31754400
-1.79501413	1.31754400
-1.79468079	1.31754400
-1.79434746	1.31754400
-1.79401412	1.31754400
-1.79368079	1.31754400
-1.79334745	1.31754400
-1.79301411	1.31754400
-1.79268078	1.31754400
-1.79234744	1.31754400
-1.79201411	1.31754400
-1.79168077	1.31754400
-1.79134743	1.29902800
-1.79101410	1.29902800
-1.79068076	1.29902800
-1.79034743	1.31754400
-1.79001409	1.29902800
-1.78968075	1.29902800
-1.78934742	1.29902800
-1.78901408	1.29902800
-1.78868075	1.29902800
-1.78834741	1.29902800
-1.78801407	1.29902800
-1.78768074	1.29902800
-1.78734740	1.29902800
-1.78701407	1.29902800
-1.78668073	1.29902800
-1.78634739	1.29902800
-1.78601406	1.29902800
-1.78568072	1.29902800
-1.78534739	1.29902800
